Informant_ID,City,YOB,Gender,Origin,DoI,Dialect_Area,,
173,Montreal,1932,Female,Veroia,1958,2,173,173
174,Montreal,1930,Female,Zakynthos,1947,1,174,174
175,Montreal,1940,Female,Messenia,1960,1,175,175
176,Montreal,1934,Female,"Goranoi, Laconia",1960,1,176,176
177,Montreal,1942,Female,Lefkada,1966,2,177,177
178,Montreal,1948,Female,Crete,1967,8,178,178
179,Montreal,1949,Male,Kalavryta,,1,179,179
182,Montreal,1946,Female,Olimpia,1968,1,182,182
185,Montreal,1955,Female,Messenia,1972,1,185,185
186,Montreal,1941,Female,Sparta,,1,186,186
206,Toronto,1954,Female,Macedonia,???,2,206,206
213,Montreal,1934,Female,Tripoli,,1,213,213
214,Montreal,1946,Female,Zakynthos,,1,214,214
216,Montreal,1948,Female,Piraeus,1966,0,216,216
217,Vancouver,1945,Male,agios mamas chalkidiki,,2,217,217
218,Montreal,1945,Male,Sparta,1966,1,218,218
219,Montreal,1935,Male,Tripoli,1960,1,219,219
220,Montreal,1939,Male,Chania,1961,8,220,220
222,Montreal,1959,Male,Naksos,1971,15,222,222
223,Montreal,1928,Female,Alexandria,1961,16,223,223
224,Montreal,1934,Female,Alexandroupoli,1956,2,224,224
225,Montreal,1951,Female,Kalamata,1971,1,225,225
226,Vancouver,1940,Male,"Vianos, Crete",,8,226,226
227,Ottawa,1952,Male,Sparta,1967,1,227,227
228,Ottawa,1939,Male,Katerini,1961,2,228,228
230,Gatineau,1952,Male,Samos,1967,2,230,230
231,Gatineau,1947,Male,Serres,1970,2,231,231
232,Montreal,1935,Female,Cairo,1957,16,232,232
233,Ottawa,1941,Male,Chalkida,1956,2,233,233
234,Ottawa,1940,Female,Nafpaktia,1962,2,234,234
235,Vancouver,1935,Male,Nicosia,1976,9,235,235
237,Vancouver,1947,Male,"Kolimbari, Hania",1973,8,237,237
240,Montreal,1943,Female,Korinthia,1961,1,240,240
241,Toronto,1943,Female,Athens,1961,0,241,241
243,Toronto,1943,Male,Messenia,1970,1,243,243
244,Montreal,1952,Male,"Stafidokampos, Peloponnese",1968,1,244,244
245,Montreal,1934,Female,Messenia,1955,1,245,245
247,Toronto,1938,Female,Laconia,,1,247,247
250,Toronto,1933,Female,Macedonia,1963,2,250,250
251,Montreal,1939,Male,Alexandria,1965,16,251,251
252,Montreal,1927,Male,Patras,,1,252,252
256,Montreal,1936,Female,Patras,,1,256,256
257,Montreal,1939,Male,Chios,1953,10,257,257
259,Toronto,1948,Male,Arcadia,1965,1,259,259
265,Montreal,1948,Female,Chios,1959,10,265,265
266,Montreal,1940,Male,Chios,,10,266,266
267,Vancouver,1950,Female,Keramoti,,8,267,267
268,Montreal,1936,Female,Lesvos,1960,2,268,268
276,Montreal,1939,Female,Laconia,1965,1,276,276
277,Montreal,1930,Male,Argolida,1959,1,277,277
278,Montreal,1930,Female,Nafplio,1959,1,278,278
288,Winnipeg,1968,Female,Lesvos,,2,288,288
292,Winnipeg,1944,Female,Molaoi,,1,292,292
298,Regina,1939,Male,Stolos,,1,298,298
300,Regina,1947,Male,Agios Nikolaos,,1,300,300
301,Calgary,1945,Female,"Leonidio, Arcadia",1964,1,301,301
302,Calgary,1954,Female,"Karya, Olympou",1971,2,302,302
304,Calgary,1943,Male,Spetses,1972,0,304,304
306,Calgary,1939,Female,Vothonas,,8,306,306
309,Calgary,1941,Male,"Eleohori, Kastri, Kinouria",1958,1,309,309
317,Montreal,1936,Male,Thessaloniki,1960,2,317,317
318,Montreal,1954,Female,Zevgolatio,1961,1,318,318
321,Victoria,1948,Male,Skyros,,2,321,321
322,Montreal,1951,Male,Instanbul,1974,17,322,322
323,Montreal,1945,Female,Piraeus,1969,0,323,323
324,Montreal,1944,Female,Istanbul,1964,17,324,324
325,Montreal,1939,Male,Istanbul,1964,17,325,325
326,Montreal,1941,Male,Athens,,0,326,326
327,Montreal,1924,Male,Port Said,1952,16,327,327
328,Montreal,1948,Male,Athens,1970,0,328,328
329,Ottawa,1950,Female,Athens,1970,0,329,329
330,Montreal,1935,Female,Messenia,1960,1,330,330
331,Montreal,1944,Male,Chania,,8,331,331
333,Ottawa,1939,Female,Patmos,1958,9,333,333
334,Ottawa,1945,Female,Chalkidiki,1966,2,334,334
336,Toronto,1955,Female,Uzbekistan,1974,18,336,336
338,Toronto,1944,Female,Macedonia,1969,2,338,338
341,Toronto,,Male,Chios,,10,341,341
347,Toronto,1937,Female,Tripoli,1963,1,347,347
348,Toronto,1950,Female,Sparta,,1,348,348
349,Montreal,1942,Male,Chania,1961,8,349,349
350,Montreal,1941,Female,Thessaloniki,,2,350,350
